"","MSFT.Open","MSFT.High","MSFT.Low","MSFT.Close","MSFT.Volume","MSFT.Adjusted"
"2017-01-03",62.790001,62.84,62.130001,62.580002,20694100,58.06546
"2017-01-04",62.48,62.75,62.119999,62.299999,21340000,57.805653
"2017-01-05",62.189999,62.66,62.029999,62.299999,24876000,57.805653
"2017-01-06",62.299999,63.150002,62.040001,62.84,19922900,58.306698
"2017-01-09",62.759998,63.080002,62.540001,62.639999,20382700,58.121124
"2017-01-10",62.73,63.07,62.279999,62.619999,18593000,58.102566
"2017-01-11",62.610001,63.23,62.43,63.189999,21517300,58.631443
"2017-01-12",63.060001,63.400002,61.950001,62.610001,20968200,58.093292
"2017-01-13",62.619999,62.869999,62.349998,62.700001,19422300,58.176796
"2017-01-17",62.68,62.700001,62.029999,62.529999,20664000,58.019058
"2017-01-18",62.669998,62.700001,62.119999,62.5,19670100,57.99123
"2017-01-19",62.240002,62.98,62.200001,62.299999,18451700,57.805653
"2017-01-20",62.669998,62.82,62.369999,62.740002,30213500,58.213917
"2017-01-23",62.700001,63.119999,62.57,62.959999,23097600,58.418034
"2017-01-24",63.200001,63.740002,62.939999,63.52,24672900,58.937649
"2017-01-25",63.950001,64.099998,63.450001,63.68,23672700,59.086102
"2017-01-26",64.120003,64.540001,63.549999,64.269997,43554600,59.63353
"2017-01-27",65.389999,65.910004,64.889999,65.779999,44818000,61.034584
"2017-01-30",65.690002,65.790001,64.800003,65.129997,31651400,60.431496
"2017-01-31",64.860001,65.150002,64.260002,64.650002,25270500,59.98613
"2017-02-01",64.360001,64.620003,63.470001,63.580002,39671500,58.99332
"2017-02-02",63.25,63.41,62.75,63.169998,45827000,58.612892
"2017-02-03",63.5,63.700001,63.07,63.68,30301800,59.086102
"2017-02-06",63.5,63.650002,63.139999,63.639999,19796400,59.048988
"2017-02-07",63.740002,63.779999,63.23,63.43,20277200,58.854137
"2017-02-08",63.57,63.810001,63.220001,63.34,18096400,58.770626
"2017-02-09",63.52,64.440002,63.32,64.059998,22644400,59.438686
"2017-02-10",64.25,64.300003,63.98,64,18170700,59.383011
"2017-02-13",64.239998,64.860001,64.129997,64.720001,22920100,60.051064
"2017-02-14",64.410004,64.720001,64.019997,64.57,23108400,60.275112
"2017-02-15",64.5,64.57,64.160004,64.529999,17005200,60.237766
"2017-02-16",64.739998,65.239998,64.440002,64.519997,20546300,60.228436
"2017-02-17",64.470001,64.690002,64.300003,64.620003,21248800,60.321796
"2017-02-21",64.610001,64.949997,64.449997,64.489998,20655900,60.200428
"2017-02-22",64.330002,64.389999,64.050003,64.360001,19292700,60.079086
"2017-02-23",64.419998,64.730003,64.190002,64.620003,20273100,60.321796
"2017-02-24",64.529999,64.800003,64.139999,64.620003,21796800,60.321796
"2017-02-27",64.540001,64.540001,64.050003,64.230003,15871500,59.957722
"2017-02-28",64.080002,64.199997,63.759998,63.98,23239800,59.724358
"2017-03-01",64.129997,64.989998,64.019997,64.940002,26937500,60.620502
"2017-03-02",64.690002,64.75,63.880001,64.010002,24539600,59.752365
"2017-03-03",63.990002,64.279999,63.619999,64.25,18135900,59.976387
"2017-03-06",63.970001,64.559998,63.810001,64.269997,18750300,59.995064
"2017-03-07",64.190002,64.779999,64.190002,64.400002,18521000,60.116417
"2017-03-08",64.260002,65.080002,64.25,64.989998,21510900,60.667179
"2017-03-09",65.190002,65.199997,64.480003,64.730003,19846800,60.424465
"2017-03-10",65.110001,65.260002,64.75,64.93,19538200,60.611168
"2017-03-13",65.010002,65.190002,64.57,64.709999,20100000,60.4058
"2017-03-14",64.529999,64.550003,64.150002,64.410004,14280200,60.125748
"2017-03-15",64.550003,64.919998,64.25,64.75,24833800,60.443142
"2017-03-16",64.75,64.760002,64.300003,64.639999,20674300,60.340454
"2017-03-17",64.910004,65.239998,64.68,64.870003,49219700,60.555157
"2017-03-20",64.910004,65.18,64.720001,64.93,14598100,60.611168
"2017-03-21",65.190002,65.5,64.129997,64.209999,26640500,59.939053
"2017-03-22",64.120003,65.139999,64.120003,65.029999,20680000,60.70451
"2017-03-23",64.940002,65.239998,64.769997,64.870003,19269200,60.555157
"2017-03-24",65.360001,65.449997,64.760002,64.980003,22617100,60.657841
"2017-03-27",64.629997,65.220001,64.349998,65.099998,18614700,60.769855
"2017-03-28",64.959999,65.470001,64.650002,65.290001,20080400,60.947231
"2017-03-29",65.120003,65.5,64.949997,65.470001,13618400,61.115242
"2017-03-30",65.419998,65.980003,65.360001,65.709999,15122800,61.339279
"2017-03-31",65.650002,66.190002,65.449997,65.860001,21040300,61.479305
"2017-04-03",65.809998,65.940002,65.190002,65.550003,20400900,61.18993
"2017-04-04",65.389999,65.809998,65.279999,65.730003,12997400,61.357952
"2017-04-05",66.300003,66.349998,65.440002,65.559998,21448600,61.199249
"2017-04-06",65.599998,66.059998,65.480003,65.730003,18103500,61.357952
"2017-04-07",65.849998,65.959999,65.440002,65.68,14108500,61.311272
"2017-04-10",65.610001,65.82,65.360001,65.529999,17952700,61.171257
"2017-04-11",65.599998,65.610001,64.849998,65.480003,18791500,61.124573
"2017-04-12",65.419998,65.510002,65.110001,65.230003,17108500,60.891216
"2017-04-13",65.290001,65.860001,64.949997,64.949997,17896500,60.629841
"2017-04-17",65.040001,65.489998,65.010002,65.480003,16689300,61.124573
"2017-04-18",65.330002,65.709999,65.160004,65.389999,15155600,61.040585
"2017-04-19",65.650002,65.75,64.889999,65.040001,26992800,60.713848
"2017-04-20",65.459999,65.75,65.139999,65.5,22299500,61.143246
"2017-04-21",65.669998,66.699997,65.449997,66.400002,32522600,61.983383
"2017-04-24",67.480003,67.660004,67.099998,67.529999,29770000,63.038219
"2017-04-25",67.900002,68.040001,67.599998,67.919998,30242700,63.402283
"2017-04-26",68.080002,68.309998,67.620003,67.830002,26190800,63.318283
"2017-04-27",68.150002,68.379997,67.580002,68.269997,34971000,63.728996
"2017-04-28",68.910004,69.139999,67.690002,68.459999,39548800,63.906357
"2017-05-01",68.68,69.550003,68.5,69.410004,31954400,64.793198
"2017-05-02",69.709999,69.709999,69.129997,69.300003,23906100,64.690498
"2017-05-03",69.379997,69.379997,68.709999,69.080002,28928000,64.48513
"2017-05-04",69.029999,69.080002,68.639999,68.809998,21749400,64.233093
"2017-05-05",68.900002,69.029999,68.489998,69,19128800,64.410446
"2017-05-08",68.970001,69.050003,68.419998,68.940002,18566100,64.354446
"2017-05-09",68.860001,69.279999,68.68,69.040001,22858400,64.4478
"2017-05-10",68.989998,69.559998,68.919998,69.309998,17977800,64.699821
"2017-05-11",68.360001,68.730003,68.120003,68.459999,28789400,63.906357
"2017-05-12",68.610001,68.610001,68.040001,68.379997,18714100,63.83168
"2017-05-15",68.139999,68.480003,67.57,68.43,31530300,63.878361
"2017-05-16",68.230003,69.440002,68.160004,69.410004,34956000,65.164558
"2017-05-17",68.889999,69.099998,67.43,67.480003,30548800,63.352634
"2017-05-18",67.400002,68.129997,67.139999,67.709999,25201300,63.568558
"2017-05-19",67.5,68.099998,67.43,67.690002,26961100,63.549786
"2017-05-22",67.889999,68.5,67.5,68.449997,16237600,64.263283
"2017-05-23",68.720001,68.75,68.379997,68.68,15425800,64.479225
"2017-05-24",68.870003,68.879997,68.449997,68.769997,14593900,64.563713
"2017-05-25",68.970001,69.879997,68.910004,69.620003,21854100,65.36174
"2017-05-26",69.800003,70.220001,69.519997,69.959999,19827900,65.680923
"2017-05-30",69.790001,70.410004,69.769997,70.410004,17072800,66.103416
"2017-05-31",70.529999,70.739998,69.809998,69.839996,30436400,65.568268
"2017-06-01",70.239998,70.610001,69.449997,70.099998,21603600,65.81237
"2017-06-02",70.440002,71.860001,70.239998,71.760002,34770300,67.370827
"2017-06-05",71.970001,72.889999,71.809998,72.279999,33316800,67.859024
"2017-06-06",72.300003,72.620003,72.269997,72.519997,31511100,68.084343
"2017-06-07",72.639999,72.769997,71.949997,72.389999,22301800,67.962288
"2017-06-08",72.510002,72.519997,71.5,71.949997,24588300,67.54921
"2017-06-09",72.040001,72.080002,68.589996,70.32,49187400,66.018906
"2017-06-12",69.25,69.940002,68.129997,69.779999,47761700,65.511925
"2017-06-13",70.019997,70.82,69.959999,70.650002,25258600,66.328728
"2017-06-14",70.910004,71.099998,69.43,70.269997,25510700,65.97197
"2017-06-15",69.269997,70.209999,68.800003,69.900002,26068700,65.624596
"2017-06-16",69.730003,70.029999,69.220001,70,48345100,65.718483
"2017-06-19",70.5,70.940002,70.349998,70.870003,23798300,66.535278
"2017-06-20",70.82,70.870003,69.870003,69.910004,21512200,65.633995
"2017-06-21",70.209999,70.620003,69.940002,70.269997,19891100,65.97197
"2017-06-22",70.540001,70.589996,69.709999,70.260002,22965700,65.962563
"2017-06-23",70.089996,71.25,69.919998,71.209999,27617300,66.854462
"2017-06-26",71.400002,71.709999,70.440002,70.529999,19607000,66.216064
"2017-06-27",70.110001,70.18,69.18,69.209999,25215100,64.976799
"2017-06-28",69.209999,69.839996,68.790001,69.800003,25806200,65.530716
"2017-06-29",69.379997,69.489998,68.089996,68.489998,28918700,64.300842
"2017-06-30",68.779999,69.379997,68.739998,68.93,24161100,64.713928
"2017-07-03",69.330002,69.599998,68.019997,68.169998,16165500,64.000389
"2017-07-05",68.260002,69.440002,68.220001,69.080002,21176300,64.854744
"2017-07-06",68.269997,68.779999,68.120003,68.57,21117600,64.375938
"2017-07-07",68.699997,69.839996,68.699997,69.459999,16878300,65.21151
"2017-07-10",69.459999,70.25,69.199997,69.980003,15014500,65.699715
"2017-07-11",70,70.68,69.75,69.989998,17460000,65.709099
"2017-07-12",70.690002,71.279999,70.550003,71.150002,17750900,66.798149
"2017-07-13",71.5,72.040001,71.309998,71.769997,20269800,67.380219
"2017-07-14",72.239998,73.269997,71.959999,72.779999,25868100,68.32843
"2017-07-17",72.800003,73.449997,72.720001,73.349998,21803900,68.863579
"2017-07-18",73.089996,73.389999,72.660004,73.300003,26435300,68.81665
"2017-07-19",73.5,74.040001,73.449997,73.860001,22416200,69.342384
"2017-07-20",74.18,74.300003,73.279999,74.220001,42361000,69.680367
"2017-07-21",73.449997,74.290001,73.169998,73.790001,46717100,69.276657
"2017-07-24",73.529999,73.75,73.129997,73.599998,21394800,69.098282
"2017-07-25",73.800003,74.309998,73.5,74.190002,22018700,69.652199
"2017-07-26",74.339996,74.379997,73.809998,74.050003,16252200,69.520767
