"","date","AAPL.Open","AAPL.High","AAPL.Low","AAPL.Close","AAPL.Volume","AAPL.Adjusted"
"1","2017-01-03",28.950001,29.0825,28.690001,29.0375,115127600,27.459938
"2","2017-01-04",28.9625,29.127501,28.9375,29.004999,84472400,27.429203
"3","2017-01-05",28.98,29.215,28.952499,29.1525,88774400,27.568691
"4","2017-01-06",29.195,29.540001,29.1175,29.477501,127007600,27.87603
"5","2017-01-09",29.487499,29.8575,29.485001,29.747499,134247600,28.131361
"6","2017-01-10",29.692499,29.844999,29.575001,29.7775,97848400,28.159733
"7","2017-01-11",29.684999,29.9825,29.65,29.9375,110354400,28.311039
"8","2017-01-12",29.725,29.825001,29.5525,29.8125,108344800,28.192831
"9","2017-01-13",29.7775,29.905001,29.702499,29.76,104447600,28.143188
"10","2017-01-17",29.584999,30.059999,29.555,30,137759200,28.37015
"11","2017-01-18",30,30.125,29.9275,29.997499,94852000,28.367781
"12","2017-01-19",29.85,30.022499,29.842501,29.945,102389200,28.318136
"13","2017-01-20",30.112499,30.112499,29.932501,30,130391600,28.37015
"14","2017-01-23",30,30.202499,29.942499,30.02,88200800,28.389057
"15","2017-01-24",29.887501,30.025,29.875,29.9925,92844000,28.363052
"16","2017-01-25",30.105,30.525,30.07,30.469999,129510400,28.81461
"17","2017-01-26",30.4175,30.610001,30.4,30.485001,105350400,28.828796
"18","2017-01-27",30.535,30.5875,30.4,30.487499,82251600,28.83116
"19","2017-01-30",30.2325,30.407499,30.165001,30.407499,121510000,28.755507
"20","2017-01-31",30.2875,30.3475,30.155001,30.3375,196804000,28.689308
"21","2017-02-01",31.7575,32.622501,31.752501,32.1875,447940000,30.438799
"22","2017-02-02",31.995001,32.3475,31.945,32.1325,134841600,30.386791
"23","2017-02-03",32.077499,32.297501,32.040001,32.27,98029200,30.516821
"24","2017-02-06",32.282501,32.625,32.224998,32.572498,107383600,30.802887
"25","2017-02-07",32.634998,33.022499,32.612499,32.8825,152735200,31.096045
"26","2017-02-08",32.837502,33.055,32.805,33.009998,92016400,31.216612
"27","2017-02-09",32.912498,33.112499,32.779999,33.105,113399600,31.442188
"28","2017-02-10",33.115002,33.235001,33.012501,33.029999,80262000,31.370947
"29","2017-02-13",33.27,33.455002,33.1875,33.322498,92141600,31.648762
"30","2017-02-14",33.3675,33.772499,33.3125,33.755001,132904800,32.059544
"31","2017-02-15",33.880001,34.067501,33.654999,33.877499,142492400,32.175884
"32","2017-02-16",33.9175,33.974998,33.709999,33.837502,90338400,32.137894
"33","2017-02-17",33.775002,33.9575,33.775002,33.93,88792800,32.225754
"34","2017-02-21",34.057499,34.1875,33.994999,34.174999,98028800,32.458447
